;;weiblich;männlich;
1999;15 - 19;1,4;1,8;
1999;20 - 24;3,2;1,4;
1999;25 - 29;2,3;2,7;
1999;30 - 34;2,7;4,0;
1999;35 - 39;3,4;3,8;
1999;40 - 44;4,8;5,9;
2000;15 - 19;1,4;1,7;
2000;20 - 24;1,4;1,7;
2000;25 - 29;3,0;3,3;
2000;30 - 34;2,7;4,6;
2000;35 - 39;4,4;4,5;
2000;40 - 44;4,8;6,1;
2001;15 - 19;1,4;1,9;
2001;20 - 24;1,7;2,0;
2001;25 - 29;1,9;3,6;
2001;30 - 34;3,2;3,0;
2001;35 - 39;2,2;4,1;
2001;40 - 44;4,7;6,7;
2002;15 - 19;1,3;2,0;
2002;20 - 24;1,6;1,0;
2002;25 - 29;2,7;1,6;
2002;30 - 34;3,1;4,7;
2002;35 - 39;2,6;3,6;
2002;40 - 44;4,3;5,8;
2003;15 - 19;1,4;1,7;
2003;20 - 24;1,4;2,8;
2003;25 - 29;1,2;4,4;
2003;30 - 34;3,0;3,6;
2003;35 - 39;1,9;5,5;
2003;40 - 44;3,5;4,7;
2004;15 - 19;1,4;1,9;
2004;20 - 24;2,3;2,1;
2004;25 - 29;2,5;2,5;
2004;30 - 34;3,7;5,1;
2004;35 - 39;3,9;5,5;
2004;40 - 44;3,2;5,9;
2005;15 - 19;1,4;2,0;
2005;20 - 24;1,7;3,7;
2005;25 - 29;2,4;4,1;
2005;30 - 34;3,3;3,1;
2005;35 - 39;3,4;3,2;
2005;40 - 44;4,9;6,9;
2006;15 - 19;1,6;1,7;
2006;20 - 24;1,3;2,9;
2006;25 - 29;4,0;2,4;
2006;30 - 34;2,5;5,3;
2006;35 - 39;4,9;4,5;
2006;40 - 44;4,1;7,2;
2007;15 - 19;1,5;1,9;
2007;20 - 24;1,9;2,2;
2007;25 - 29;4,3;4,0;
2007;30 - 34;3,5;4,2;
2007;35 - 39;4,1;4,0;
2007;40 - 44;5,4;6,2;
2008;15 - 19;1,3;2,0;
2008;20 - 24;2,2;1,9;
2008;25 - 29;3,7;3,6;
2008;30 - 34;3,7;5,6;
2008;35 - 39;3,5;5,1;
2008;40 - 44;4,9;5,0;
2009;15 - 19;1,7;2,1;
2009;20 - 24;2,3;2,7;
2009;25 - 29;2,0;3,6;
2009;30 - 34;3,2;5,6;
2009;35 - 39;2,6;5,2;
2009;40 - 44;3,9;6,1;
2010;15 - 19;1,4;2,0;
2010;20 - 24;1,5;2,2;
2010;25 - 29;2,4;4,0;
2010;30 - 34;2,6;4,9;
2010;35 - 39;3,6;5,6;
2010;40 - 44;4,9;6,7;
2011;15 - 19;1,8;2,2;
2011;20 - 24;1,8;2,5;
2011;25 - 29;2,7;3,6;
2011;30 - 34;2,6;4,1;
2011;35 - 39;4,7;5,9;
2011;40 - 44;5,8;6,8;
2012;15 - 19;1,5;2,1;
2012;20 - 24;2,0;2,8;
2012;25 - 29;2,5;3,1;
2012;30 - 34;3,1;5,2;
2012;35 - 39;3,6;4,7;
2012;40 - 44;4,9;6,4;
2013;15 - 19;1,8;2,2;
2013;20 - 24;2,2;2,5;
2013;25 - 29;2,8;4,4;
2013;30 - 34;3,6;3,6;
2013;35 - 39;3,9;4,0;
2013;40 - 44;4,5;6,1;
2014;15 - 19;1,1;1,8;
2014;20 - 24;1,8;2,8;
2014;25 - 29;3,1;2,8;
2014;30 - 34;3,8;3,7;
2014;35 - 39;4,4;5,3;
2014;40 - 44;5,1;6,7;
2015;15 - 19;1,7;2,0;
2015;20 - 24;1,6;2,3;
2015;25 - 29;3,6;3,6;
2015;30 - 34;4,4;4,6;
2015;35 - 39;4,1;4,8;
2015;40 - 44;4,0;7,1;
2016;15 - 19;1,6;1,6;
2016;20 - 24;1,9;1,8;
2016;25 - 29;2,9;3,6;
2016;30 - 34;3,1;3,6;
2016;35 - 39;3,0;5,4;
2016;40 - 44;5,5;7,7;
2017;15 - 19;1,5;1,7;
2017;20 - 24;1,9;2,6;
2017;25 - 29;3,0;3,0;
2017;30 - 34;3,3;3,8;
2017;35 - 39;3,4;5,0;
2017;40 - 44;4,1;6,1;
2018;15 - 19;1,2;2,0;
2018;20 - 24;2,1;2,2;
2018;25 - 29;3,4;2,9;
2018;30 - 34;3,3;4,2;
2018;35 - 39;3,8;4,9;
2018;40 - 44;4,6;6,5;
2019;15 - 19;1,7;1,1;
2019;20 - 24;2,1;2,2;
2019;25 - 29;2,0;3,9;
2019;30 - 34;3,1;4,7;
2019;35 - 39;4,2;5,0;
2019;40 - 44;4,4;5,8;
2020;15 - 19;1,5;1,5;
2020;20 - 24;2,5;1,8;
2020;25 - 29;2,9;2,8;
2020;30 - 34;2,8;4,1;
2020;35 - 39;3,7;5,6;
2020;40 - 44;5,0;5,8;
2021;15 - 19;1,4;2,0;
2021;20 - 24;2,3;2,2;
2021;25 - 29;2,3;3,5;
2021;30 - 34;3,1;5,3;
2021;35 - 39;3,3;4,7;
2021;40 - 44;4,4;6,1;
2022;15 - 19;1,2;1,8;
2022;20 - 24;1,6;1,8;
2022;25 - 29;1,9;3,4;
2022;30 - 34;2,9;4,5;
2022;35 - 39;3,9;4,6;
2022;40 - 44;4,0;5,6;
2023;15 - 19;0,9;1,5;
2023;20 - 24;2,2;1,2;
2023;25 - 29;2,1;2,3;
2023;30 - 34;2,5;4,0;
2023;35 - 39;2,3;4,9;
2023;40 - 44;3,2;5,1;
