;;weiblich;männlich;
1999;65 - 69;18,0;20,7;
1999;70 - 74;17,0;27,9;
2000;65 - 69;16,1;24,7;
2000;70 - 74;15,8;24,7;
2001;65 - 69;13,4;24,2;
2001;70 - 74;21,5;30,6;
2002;65 - 69;15,5;23,3;
2002;70 - 74;17,0;25,5;
2003;65 - 69;16,6;21,8;
2003;70 - 74;18,7;26,3;
2004;65 - 69;16,4;22,2;
2004;70 - 74;18,4;27,8;
2005;65 - 69;17,2;20,9;
2005;70 - 74;14,5;26,3;
2006;65 - 69;18,2;27,6;
2006;70 - 74;21,5;24,7;
2007;65 - 69;17,2;21,9;
2007;70 - 74;19,1;26,0;
2008;65 - 69;16,3;22,3;
2008;70 - 74;18,3;29,9;
2009;65 - 69;14,3;21,4;
2009;70 - 74;17,1;25,6;
2010;65 - 69;18,7;23,4;
2010;70 - 74;18,1;26,2;
2011;65 - 69;15,8;24,8;
2011;70 - 74;19,5;26,0;
2012;65 - 69;14,1;24,4;
2012;70 - 74;18,8;28,6;
2013;65 - 69;19,0;22,2;
2013;70 - 74;19,3;27,5;
2014;65 - 69;16,7;21,2;
2014;70 - 74;18,3;25,5;
2015;65 - 69;15,3;22,8;
2015;70 - 74;17,9;25,9;
2016;65 - 69;15,5;23,0;
2016;70 - 74;19,4;24,7;
2017;65 - 69;14,3;21,6;
2017;70 - 74;19,0;27,9;
2018;65 - 69;15,2;21,8;
2018;70 - 74;18,5;26,5;
2019;65 - 69;14,9;23,4;
2019;70 - 74;16,3;27,3;
2020;65 - 69;15,4;21,6;
2020;70 - 74;16,9;24,2;
2021;65 - 69;15,7;21,9;
2021;70 - 74;17,5;23,3;
2022;65 - 69;14,7;20,8;
2022;70 - 74;17,6;27,5;
2023;65 - 69;12,7;20,0;
2023;70 - 74;15,0;21,7;
