;weiblich;männlich;
1999;4,2;6,3;
2000;4,2;6,2;
2001;4,4;6,0;
2002;4,4;6,1;
2003;4,3;6,3;
2004;4,2;6,1;
2005;4,3;6,2;
2006;4,1;5,9;
2007;4,0;5,7;
2008;4,0;5,8;
2009;4,1;6,0;
2010;3,9;5,8;
2011;4,1;6,0;
2012;4,0;6,1;
2013;4,0;6,0;
2014;4,1;6,1;
2015;3,8;5,9;
2016;4,1;5,9;
2017;4,0;5,9;
2018;3,9;5,9;
2019;3,8;5,9;
2020;3,7;5,7;
2021;3,8;5,7;
2022;3,9;5,9;
2023;3,7;5,6;
