;weiblich;männlich;
1999;5,6;7,6;
2000;5,8;7,5;
2001;5,2;8,1;
2002;5,5;7,7;
2003;5,2;8,0;
2004;5,7;8,0;
2005;5,6;8,2;
2006;6,1;8,1;
2007;6,2;8,0;
2008;6,1;8,4;
2009;5,7;8,4;
2010;5,7;8,4;
2011;6,0;8,5;
2012;5,9;8,4;
2013;6,2;8,4;
2014;5,9;8,2;
2015;6,0;8,1;
2016;6,1;8,1;
2017;5,7;8,0;
2018;5,7;8,1;
2019;5,7;7,9;
2020;5,7;7,8;
2021;5,6;8,1;
2022;5,5;7,8;
2023;5,0;7,2;
