;;weiblich;männlich;
1999;55 - 59;8,8;15,5;
1999;60 - 64;9,2;17,8;
2000;55 - 59;11,1;9,8;
2000;60 - 64;14,7;19,0;
2001;55 - 59;8,6;16,1;
2001;60 - 64;14,8;21,2;
2002;55 - 59;9,3;18,8;
2002;60 - 64;12,3;19,8;
2003;55 - 59;8,8;12,7;
2003;60 - 64;13,9;20,3;
2004;55 - 59;10,2;15,0;
2004;60 - 64;12,3;17,1;
2005;55 - 59;9,0;15,4;
2005;60 - 64;12,4;19,0;
2006;55 - 59;9,9;14,0;
2006;60 - 64;16,9;17,9;
2007;55 - 59;11,3;12,7;
2007;60 - 64;12,0;19,1;
2008;55 - 59;10,7;15,7;
2008;60 - 64;12,5;19,3;
2009;55 - 59;9,9;16,6;
2009;60 - 64;14,3;19,2;
2010;55 - 59;9,9;15,8;
2010;60 - 64;10,2;17,4;
2011;55 - 59;10,8;15,8;
2011;60 - 64;13,0;18,6;
2012;55 - 59;10,9;13,7;
2012;60 - 64;11,6;16,9;
2013;55 - 59;9,5;15,3;
2013;60 - 64;14,6;18,2;
2014;55 - 59;9,2;14,6;
2014;60 - 64;12,4;18,8;
2015;55 - 59;9,2;14,1;
2015;60 - 64;12,6;18,2;
2016;55 - 59;10,5;15,2;
2016;60 - 64;11,8;16,6;
2017;55 - 59;10,5;15,0;
2017;60 - 64;12,0;19,3;
2018;55 - 59;8,8;13,8;
2018;60 - 64;12,2;17,6;
2019;55 - 59;10,1;13,6;
2019;60 - 64;11,4;16,4;
2020;55 - 59;9,6;14,8;
2020;60 - 64;9,9;17,9;
2021;55 - 59;9,1;13,9;
2021;60 - 64;11,8;18,1;
2022;55 - 59;9,4;13,2;
2022;60 - 64;11,3;17,1;
2023;55 - 59;8,8;12,0;
2023;60 - 64;10,7;15,1;
