;weiblich;männlich;
1999;2.437;2.803;
2000;2.441;2.808;
2001;2.537;2.769;
2002;2.599;2.856;
2003;2.607;2.972;
2004;2.580;2.961;
2005;2.665;3.017;
2006;2.600;2.955;
2007;2.500;2.922;
2008;2.554;3.008;
2009;2.609;3.130;
2010;2.561;3.087;
2011;2.623;3.124;
2012;2.591;3.293;
2013;2.563;3.252;
2014;2.765;3.340;
2015;2.535;3.317;
2016;2.816;3.320;
2017;2.721;3.383;
2018;2.615;3.441;
2019;2.583;3.430;
2020;2.585;3.427;
2021;2.610;3.406;
2022;2.731;3.549;
2023;2.628;3.357;
